date_only,trader_id,num_trades,daily_pnl,avg_trade_size_usd,win_rate,long_ratio,long_short_ratio,value,classification,frequency_segment,winner_segment
2023-03-28,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,3,0.0,159.0,0.0,0.0,0.0,59.0,Greed,Infrequent,Inconsistent
2023-11-14,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2,0.0,23066.935,0.0,0.0,0.0,69.0,Greed,Infrequent,Inconsistent
2023-11-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1043,155.50335699999994,11034.799511025887,27.516778523489933,0.0,0.0,69.0,Greed,Frequent,Inconsistent
2024-03-09,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,27,-5564.01614,3048.5944444444444,33.33333333333333,0.0,0.0,84.0,Extreme Greed,Infrequent,Inconsistent
2024-03-09,0x430f09841d65beb3f27765503d0f850b8bce7713,88,0.0,1136.3127272727272,0.0,0.0,0.0,84.0,Extreme Greed,Infrequent,Inconsistent
2024-03-09,0x4f93fead39b70a1824f981a54d4e55b278e9f760,730,-7919.471032000002,6219.798493150685,30.684931506849317,0.0,0.0,84.0,Extreme Greed,Frequent,Inconsistent
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3041,187842.08419,3677.8091055573827,82.40710292666887,0.0,0.0,84.0,Extreme Greed,Frequent,Consistent Winner
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,3076,2606.8947559999997,7639.724411573472,21.879063719115734,0.0,0.0,84.0,Extreme Greed,Frequent,Inconsistent
2024-07-03,0x271b280974205ca63b716753467d5a371de622ab,5,-1.0,6070.2,0.0,0.0,0.0,50.0,Neutral,Frequent,Inconsistent
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,80,215.754798,767.24775,10.0,0.0,0.0,50.0,Neutral,Infrequent,Inconsistent
2024-07-03,0x430f09841d65beb3f27765503d0f850b8bce7713,249,145563.448374,1759.9534939759035,95.18072289156626,0.0,0.0,50.0,Neutral,Infrequent,Inconsistent
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,1309,-25991.506339,10190.317929717341,33.155080213903744,0.0,0.0,50.0,Neutral,Frequent,Inconsistent
2024-07-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,6,0.16271999999999998,34.916666666666664,16.666666666666664,0.0,0.0,50.0,Neutral,Frequent,Consistent Winner
2024-07-03,0x8477e447846c758f5a675856001ea72298fd9cb5,3810,-9125.157325,772.3728871391077,32.54593175853018,0.0,0.0,50.0,Neutral,Frequent,Inconsistent
2024-07-03,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,39,-14505.50575,7877.326666666667,0.0,0.0,0.0,50.0,Neutral,Infrequent,Inconsistent
2024-07-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1643,62586.1816,2875.2178940961658,20.998174071819843,0.0,0.0,50.0,Neutral,Frequent,Inconsistent
2024-10-27,0x083384f897ee0f19899168e3b1bec365f52a9012,462,-327505.900056,14810.891818181817,2.5974025974025974,0.0,0.0,74.0,Greed,Frequent,Inconsistent
2024-10-27,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,320,20607.446093000002,2492.74990625,53.125,0.0,0.0,74.0,Greed,Frequent,Inconsistent
2024-10-27,0x271b280974205ca63b716753467d5a371de622ab,5,1793.1602149999999,31941.660000000003,80.0,0.0,0.0,74.0,Greed,Frequent,Inconsistent
2024-10-27,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,6472,121880.386016,483.5901143386898,44.37577255871446,0.0,0.0,74.0,Greed,Frequent,Inconsistent
2024-10-27,0x2c229d22b100a7beb69122eed721cee9b24011dd,763,52215.729448,2941.8256880733943,47.44429882044561,0.0,0.0,74.0,Greed,Infrequent,Consistent Winner
2024-10-27,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,156,36993.371011,2583.170064102564,46.794871794871796,0.0,0.0,74.0,Greed,Infrequent,Inconsistent
2024-10-27,0x39cef799f8b69da1995852eea189df24eb5cae3c,144,34983.381862,4554.800138888889,52.77777777777778,0.0,0.0,74.0,Greed,Infrequent,Inconsistent
2024-10-27,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,191,7612.618288,2786.4265445026176,41.361256544502616,0.0,0.0,74.0,Greed,Infrequent,Inconsistent
2024-10-27,0x420ab45e0bd8863569a5efbb9c05d91f40624641,125,16102.56859,6480.62816,21.6,0.0,0.0,74.0,Greed,Infrequent,Inconsistent
2024-10-27,0x430f09841d65beb3f27765503d0f850b8bce7713,43,160450.518105,6742.71976744186,88.37209302325581,0.0,0.0,74.0,Greed,Infrequent,Inconsistent
2024-10-27,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,3711,69282.42904,494.23683912691996,33.818377795742386,0.0,0.0,74.0,Greed,Frequent,Inconsistent
2024-10-27,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,328,61076.167808,8444.161189024391,41.15853658536585,0.0,0.0,74.0,Greed,Frequent,Inconsistent
2024-10-27,0x4f93fead39b70a1824f981a54d4e55b278e9f760,1703,111230.498007,19645.16682912507,32.82442748091603,0.0,0.0,74.0,Greed,Frequent,Inconsistent
2024-10-27,0x513b8629fe877bb581bf244e326a047b249c4ff1,223,0.0,3261.5788789237668,0.0,0.0,0.0,74.0,Greed,Frequent,Inconsistent
2024-10-27,0x6d6a4b953f202f8df5bed40692e7fd865318264a,250,101539.274031,525.47136,100.0,0.0,0.0,74.0,Greed,Infrequent,Inconsistent
2024-10-27,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,202,327545.999992,16311.138465346536,51.48514851485149,0.0,0.0,74.0,Greed,Infrequent,Inconsistent
2024-10-27,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,419,51737.579418,2305.200429594272,2.863961813842482,0.0,0.0,74.0,Greed,Infrequent,Inconsistent
2024-10-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1016,37526.331877,2056.391348425197,82.08661417322834,0.0,0.0,74.0,Greed,Frequent,Consistent Winner
2024-10-27,0x8170715b3b381dffb7062c0298972d4727a0a63b,15,0.0,2333.2533333333336,0.0,0.0,0.0,74.0,Greed,Frequent,Inconsistent
2024-10-27,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,54,11.717676000000012,933.2848148148149,3.7037037037037033,0.0,0.0,74.0,Greed,Infrequent,Inconsistent
2024-10-27,0x8477e447846c758f5a675856001ea72298fd9cb5,1804,39978.37791,1376.8141407982262,32.427937915742795,0.0,0.0,74.0,Greed,Frequent,Inconsistent
2024-10-27,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,724,8695.357326,2936.1985911602205,7.596685082872928,0.0,0.0,74.0,Greed,Infrequent,Inconsistent
2024-10-27,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,4211,49180.714882,1636.15022559962,41.8665400142484,0.0,0.0,74.0,Greed,Frequent,Inconsistent
2024-10-27,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,283,67900.247545,1684.2025795053005,54.77031802120141,0.0,0.0,74.0,Greed,Infrequent,Inconsistent
2024-10-27,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,190,20925.513222,3387.3391578947367,55.26315789473685,0.0,0.0,74.0,Greed,Infrequent,Inconsistent
2024-10-27,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,9,55.01524,1862.9299999999998,22.22222222222222,0.0,0.0,74.0,Greed,Infrequent,Inconsistent
2024-10-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1268,1421755.845871,2166.171861198738,56.70347003154574,0.0,0.0,74.0,Greed,Frequent,Inconsistent
2024-10-27,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,267,11671.68,2725.7805992509366,15.355805243445692,0.0,0.0,74.0,Greed,Infrequent,Inconsistent
2024-10-27,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,9883,684215.002602,2693.2837964180917,56.92603460487706,0.0,0.0,74.0,Greed,Frequent,Inconsistent
2025-02-19,0x083384f897ee0f19899168e3b1bec365f52a9012,3356,1927735.720035,16345.241939809297,40.55423122765197,0.0,0.0,44.0,Fear,Frequent,Inconsistent
2025-02-19,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,3533,17098.727055,1693.3516841211435,43.504104160769884,0.0,0.0,44.0,Fear,Frequent,Inconsistent
2025-02-19,0x271b280974205ca63b716753467d5a371de622ab,1136,29970.928216,10836.90096830986,43.04577464788733,0.0,0.0,44.0,Fear,Frequent,Inconsistent
2025-02-19,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,6794,10435.095669,533.2378127759788,43.27347659699735,0.0,0.0,44.0,Fear,Frequent,Inconsistent
2025-02-19,0x2c229d22b100a7beb69122eed721cee9b24011dd,2471,116412.254606,3205.000631323351,53.37919870497774,0.0,0.0,44.0,Fear,Infrequent,Consistent Winner
2025-02-19,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,349,-59349.677108,1648.5575358166188,26.36103151862464,0.0,0.0,44.0,Fear,Infrequent,Inconsistent
2025-02-19,0x39cef799f8b69da1995852eea189df24eb5cae3c,3445,-20526.462526,4800.430827285922,31.93033381712627,0.0,0.0,44.0,Fear,Infrequent,Inconsistent
2025-02-19,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,141,45883.628955,4338.219787234042,56.02836879432624,0.0,0.0,44.0,Fear,Infrequent,Inconsistent
2025-02-19,0x420ab45e0bd8863569a5efbb9c05d91f40624641,258,183403.024142,4563.756162790698,24.418604651162788,0.0,0.0,44.0,Fear,Infrequent,Inconsistent
2025-02-19,0x430f09841d65beb3f27765503d0f850b8bce7713,671,110527.905862,2807.6623994038746,48.28614008941878,0.0,0.0,44.0,Fear,Infrequent,Inconsistent
2025-02-19,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,4629,32683.214094,541.9522812702527,36.55217109526895,0.0,0.0,44.0,Fear,Frequent,Inconsistent
2025-02-19,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,3806,613327.827224,8998.349072517078,49.52706253284288,0.0,0.0,44.0,Fear,Frequent,Inconsistent
2025-02-19,0x4f93fead39b70a1824f981a54d4e55b278e9f760,3737,223968.37089299998,20468.303636606903,39.17580947283918,0.0,0.0,44.0,Fear,Frequent,Inconsistent
2025-02-19,0x513b8629fe877bb581bf244e326a047b249c4ff1,5777,403501.648209,28304.44506318158,41.56136402977324,0.0,0.0,44.0,Fear,Frequent,Inconsistent
2025-02-19,0x6d6a4b953f202f8df5bed40692e7fd865318264a,572,6979.340871,891.0710664335664,26.923076923076923,0.0,0.0,44.0,Fear,Infrequent,Inconsistent
2025-02-19,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,932,98269.195073,8098.078723175966,43.99141630901288,0.0,0.0,44.0,Fear,Infrequent,Inconsistent
2025-02-19,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,939,341945.434741,2123.4002662406815,39.61661341853035,0.0,0.0,44.0,Fear,Infrequent,Inconsistent
2025-02-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,4885,136208.043913,2330.3033080859777,79.85670419651996,0.0,0.0,44.0,Fear,Frequent,Consistent Winner
2025-02-19,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1554,14781.443047,3643.361287001287,45.10939510939511,0.0,0.0,44.0,Fear,Infrequent,Consistent Winner
2025-02-19,0x8170715b3b381dffb7062c0298972d4727a0a63b,3056,196303.792847,2249.731112565445,28.763089005235603,0.0,0.0,44.0,Fear,Frequent,Inconsistent
2025-02-19,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1802,64510.169958,6453.556398446171,34.01775804661487,0.0,0.0,44.0,Fear,Infrequent,Inconsistent
2025-02-19,0x8477e447846c758f5a675856001ea72298fd9cb5,5602,46257.358187,658.3625776508391,30.739021777936454,0.0,0.0,44.0,Fear,Frequent,Inconsistent
2025-02-19,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2080,100502.420808,3430.149134615385,39.03846153846154,0.0,0.0,44.0,Fear,Infrequent,Inconsistent
2025-02-19,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,9274,40314.808014,1157.8793541082598,32.003450506793186,0.0,0.0,44.0,Fear,Frequent,Inconsistent
2025-02-19,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,95,19451.742477,820.6771578947369,88.42105263157895,0.0,0.0,44.0,Fear,Infrequent,Inconsistent
2025-02-19,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,182,8751.751449,3072.9576923076925,26.923076923076923,0.0,0.0,44.0,Fear,Infrequent,Inconsistent
2025-02-19,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,525,21703.816512999998,8441.060742857142,32.38095238095238,0.0,0.0,44.0,Fear,Infrequent,Inconsistent
2025-02-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,7380,553818.000465,1818.587241192412,39.105691056910565,0.0,0.0,44.0,Fear,Frequent,Inconsistent
2025-02-19,0xb899e522b5715391ae1d4f137653e7906c5e2115,4838,22488.500821,22504.555828854896,43.861099627945435,0.0,0.0,44.0,Fear,Frequent,Inconsistent
2025-02-19,0xbaaaf6571ab7d571043ff1e313a9609a10637864,21190,940157.212682,3210.7751864086836,46.753185464841906,0.0,0.0,44.0,Fear,Frequent,Consistent Winner
2025-02-19,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2211,325441.97721599997,8103.972912709181,37.22297602894618,0.0,0.0,44.0,Fear,Infrequent,Inconsistent
2025-02-19,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,26651,126967.976166,1554.8373344339798,38.48636073693295,0.0,0.0,44.0,Fear,Frequent,Inconsistent
2025-06-15,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,3427,10179.147366,1533.4683950977533,44.236941931718704,0.0,0.0,,,Frequent,Inconsistent
2025-06-15,0x271b280974205ca63b716753467d5a371de622ab,2663,-102199.279749,8025.783559894856,24.671423206909502,0.0,0.0,,,Frequent,Inconsistent
2025-06-15,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,45,149.33286900000002,97.98177777777778,57.77777777777777,0.0,0.0,,,Frequent,Inconsistent
2025-06-15,0x2c229d22b100a7beb69122eed721cee9b24011dd,5,30.02094,542.1279999999999,60.0,0.0,0.0,,,Infrequent,Consistent Winner
2025-06-15,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,198,-3499.0325470000002,1218.5765151515152,95.45454545454545,0.0,0.0,,,Infrequent,Inconsistent
2025-06-15,0x430f09841d65beb3f27765503d0f850b8bce7713,186,0.0,1365.6282795698924,0.0,0.0,0.0,,,Infrequent,Inconsistent
2025-06-15,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,179,1378.073027,368.8205586592179,35.754189944134076,0.0,0.0,,,Frequent,Inconsistent
2025-06-15,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,222,3343.0556109999998,11511.476621621621,44.14414414414414,0.0,0.0,,,Frequent,Inconsistent
2025-06-15,0x4f93fead39b70a1824f981a54d4e55b278e9f760,105,7687.978187,17592.19438095238,49.523809523809526,0.0,0.0,,,Frequent,Inconsistent
2025-06-15,0x513b8629fe877bb581bf244e326a047b249c4ff1,6236,436920.907007,41153.69550032072,40.21808851828095,0.0,0.0,,,Frequent,Inconsistent
2025-06-15,0x6d6a4b953f202f8df5bed40692e7fd865318264a,153,212.60187,568.6079738562091,11.11111111111111,0.0,0.0,,,Infrequent,Inconsistent
2025-06-15,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,456,3540.3708500000002,1386.494692982456,7.894736842105263,0.0,0.0,,,Infrequent,Inconsistent
2025-06-15,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,72,9328.49,1269.3402777777778,75.0,0.0,0.0,,,Infrequent,Inconsistent
2025-06-15,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,945,17518.784011,1134.6507724867724,82.53968253968253,0.0,0.0,,,Frequent,Consistent Winner
2025-06-15,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,5,119.0,36540.202000000005,80.0,0.0,0.0,,,Infrequent,Consistent Winner
2025-06-15,0x8170715b3b381dffb7062c0298972d4727a0a63b,1530,-363924.917628,2113.4516666666664,57.647058823529406,0.0,0.0,,,Frequent,Inconsistent
2025-06-15,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,55,991.770272,5808.497454545454,29.09090909090909,0.0,0.0,,,Infrequent,Inconsistent
2025-06-15,0x8477e447846c758f5a675856001ea72298fd9cb5,3782,-33193.569796,843.5024510840825,10.100475938656796,0.0,0.0,,,Frequent,Inconsistent
2025-06-15,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,248,17381.164,6983.216774193548,1.6129032258064515,0.0,0.0,,,Infrequent,Inconsistent
2025-06-15,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2120,16807.35236,1056.7010613207547,31.367924528301888,0.0,0.0,,,Frequent,Inconsistent
2025-06-15,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,191,38168.35486,2484.57057591623,39.79057591623037,0.0,0.0,,,Infrequent,Inconsistent
2025-06-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,323,102460.17164,1989.5179256965946,17.647058823529413,0.0,0.0,,,Frequent,Inconsistent
2025-06-15,0xbaaaf6571ab7d571043ff1e313a9609a10637864,2,6.593538,7.0200000000000005,100.0,0.0,0.0,,,Frequent,Consistent Winner
2025-06-15,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,163,-116594.595363,12832.663680981595,0.6134969325153374,0.0,0.0,,,Infrequent,Inconsistent
2025-06-15,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,3650,24897.574309,1658.11421369863,36.3013698630137,0.0,0.0,,,Frequent,Inconsistent
